DATE,DGS3MO
1981-09-01,15.6071428571428571
1981-10-01,14.2309523809523810
1981-11-01,11.3455555555555556
1981-12-01,11.3190476190476190
1982-01-01,12.9180000000000000
1982-02-01,14.2794444444444444
1982-03-01,13.3147826086956522
1982-04-01,13.3447619047619048
1982-05-01,12.7140000000000000
1982-06-01,13.0786363636363636
1982-07-01,11.8633333333333333
1982-08-01,8.9972727272727273
1982-09-01,8.1928571428571429
1982-10-01,7.9675000000000000
1982-11-01,8.3463157894736842
1982-12-01,8.2027272727272727
1983-01-01,8.1171428571428571
1983-02-01,8.3942105263157895
1983-03-01,8.6595652173913043
1983-04-01,8.5135000000000000
1983-05-01,8.4957142857142857
1983-06-01,9.1395454545454545
1983-07-01,9.4495000000000000
1983-08-01,9.7391304347826087
1983-09-01,9.3614285714285714
1983-10-01,8.9880000000000000
1983-11-01,9.1110526315789474
1983-12-01,9.3576190476190476
1984-01-01,9.2638095238095238
1984-02-01,9.4594736842105263
1984-03-01,9.8895454545454545
1984-04-01,10.0730000000000000
1984-05-01,10.2231818181818182
1984-06-01,10.2604761904761905
1984-07-01,10.5309523809523810
1984-08-01,10.9004347826086957
1984-09-01,10.7957894736842105
1984-10-01,10.1245454545454545
1984-11-01,8.9247368421052632
1984-12-01,8.3375000000000000
1985-01-01,8.0200000000000000
1985-02-01,8.5572222222222222
1985-03-01,8.8300000000000000
1985-04-01,8.2219047619047619
1985-05-01,7.7331818181818182
1985-06-01,7.1800000000000000
1985-07-01,7.3163636363636364
1985-08-01,7.3704545454545455
1985-09-01,7.3331578947368421
1985-10-01,7.4009090909090909
1985-11-01,7.4763157894736842
1985-12-01,7.3300000000000000
1986-01-01,7.3019047619047619
1986-02-01,7.2905263157894737
1986-03-01,6.7640000000000000
1986-04-01,6.2354545454545455
1986-05-01,6.3347619047619048
1986-06-01,6.3966666666666667
1986-07-01,5.9995454545454545
1986-08-01,5.6852380952380952
1986-09-01,5.3523809523809524
1986-10-01,5.3231818181818182
1986-11-01,5.5000000000000000
1986-12-01,5.6827272727272727
1987-01-01,5.5780000000000000
1987-02-01,5.7510526315789474
1987-03-01,5.7659090909090909
1987-04-01,5.8157142857142857
1987-05-01,5.8465000000000000
1987-06-01,5.8545454545454545
1987-07-01,5.8790909090909091
1987-08-01,6.2333333333333333
1987-09-01,6.6214285714285714
1987-10-01,6.3509523809523810
1987-11-01,5.8900000000000000
1987-12-01,5.9595454545454545
1988-01-01,6.0047368421052632
1988-02-01,5.8425000000000000
1988-03-01,5.8700000000000000
1988-04-01,6.0830000000000000
1988-05-01,6.4542857142857143
1988-06-01,6.6640909090909091
1988-07-01,6.9480000000000000
1988-08-01,7.2995652173913043
1988-09-01,7.4780952380952381
1988-10-01,7.5970000000000000
1988-11-01,8.0285000000000000
1988-12-01,8.3485714285714286
1989-01-01,8.5585000000000000
1989-02-01,8.8368421052631579
1989-03-01,9.1422727272727273
1989-04-01,8.9625000000000000
1989-05-01,8.7359090909090909
1989-06-01,8.4345454545454545
1989-07-01,8.1470000000000000
1989-08-01,8.1700000000000000
1989-09-01,8.0145000000000000
1989-10-01,7.8995238095238095
1989-11-01,7.9438095238095238
1989-12-01,7.8795000000000000
1990-01-01,7.8980952380952381
1990-02-01,8.0021052631578947
1990-03-01,8.1700000000000000
1990-04-01,8.0405000000000000
1990-05-01,8.0068181818181818
1990-06-01,7.9866666666666667
1990-07-01,7.8747619047619048
1990-08-01,7.6943478260869565
1990-09-01,7.5978947368421053
1990-10-01,7.4000000000000000
1990-11-01,7.2905000000000000
1990-12-01,6.9495000000000000
1991-01-01,6.4104761904761905
1991-02-01,6.1163157894736842
1991-03-01,6.0935000000000000
1991-04-01,5.8254545454545455
1991-05-01,5.6336363636363636
1991-06-01,5.7510000000000000
1991-07-01,5.7509090909090909
1991-08-01,5.4977272727272727
1991-09-01,5.3735000000000000
1991-10-01,5.1440909090909091
1991-11-01,4.6894736842105263
1991-12-01,4.1842857142857143
1992-01-01,3.9061904761904762
1992-02-01,3.9500000000000000
1992-03-01,4.1386363636363636
1992-04-01,3.8390476190476190
1992-05-01,3.7190000000000000
1992-06-01,3.7450000000000000
1992-07-01,3.2795454545454545
1992-08-01,3.1990476190476190
1992-09-01,2.9685714285714286
1992-10-01,2.9328571428571429
1992-11-01,3.2057894736842105
1992-12-01,3.2913636363636364
1993-01-01,3.0710526315789474
1993-02-01,2.9926315789473684
1993-03-01,3.0143478260869565
1993-04-01,2.9304761904761905
1993-05-01,3.0250000000000000
1993-06-01,3.1445454545454545
1993-07-01,3.1109523809523810
1993-08-01,3.0904545454545455
1993-09-01,3.0085714285714286
1993-10-01,3.0920000000000000
1993-11-01,3.1795000000000000
1993-12-01,3.1277272727272727
1994-01-01,3.0445000000000000
1994-02-01,3.3305263157894737
1994-03-01,3.5908695652173913
1994-04-01,3.7805263157894737
1994-05-01,4.2676190476190476
1994-06-01,4.2490909090909091
1994-07-01,4.4565000000000000
1994-08-01,4.6117391304347826
1994-09-01,4.7514285714285714
1994-10-01,5.1020000000000000
1994-11-01,5.4490000000000000
1994-12-01,5.7647619047619048
1995-01-01,5.9015000000000000
1995-02-01,5.9394736842105263
1995-03-01,5.9104347826086957
1995-04-01,5.8378947368421053
1995-05-01,5.8477272727272727
1995-06-01,5.6390909090909091
1995-07-01,5.5930000000000000
1995-08-01,5.5656521739130435
1995-09-01,5.4340000000000000
1995-10-01,5.4442857142857143
1995-11-01,5.5180952380952381
1995-12-01,5.2940000000000000
1996-01-01,5.1504761904761905
1996-02-01,4.9645000000000000
