Date,GSPC
9/30/05,1228.810059
10/31/05,1207.01001
11/30/05,1249.47998
12/30/05,1248.290039
1/31/06,1280.079956
2/28/06,1280.660034
3/31/06,1294.869995
4/28/06,1310.609985
5/31/06,1270.089966
6/30/06,1270.199951
7/31/06,1276.660034
8/31/06,1303.819946
9/29/06,1335.849976
10/31/06,1377.939941
11/30/06,1400.630005
12/29/06,1418.300049
1/31/07,1438.23999
2/28/07,1406.819946
3/30/07,1420.859985
4/30/07,1482.369995
5/31/07,1530.619995
6/29/07,1503.349976
7/31/07,1455.27002
8/31/07,1473.98999
9/28/07,1526.75
10/31/07,1549.380005
11/30/07,1481.140015
12/31/07,1468.359985
1/31/08,1378.550049
2/29/08,1330.630005
3/31/08,1322.699951
4/30/08,1385.589966
5/30/08,1400.380005
6/30/08,1280
7/31/08,1267.380005
8/29/08,1282.829956
9/30/08,1166.359985
10/31/08,968.75
11/28/08,896.23999
12/31/08,903.25
1/30/09,825.880005
2/27/09,735.090027
3/31/09,797.869995
4/30/09,872.809998
5/29/09,919.140015
6/30/09,919.320007
7/31/09,987.47998
8/31/09,1020.619995
9/30/09,1057.079956
10/30/09,1036.189941
11/30/09,1095.630005
12/31/09,1115.099976
1/29/10,1073.869995
2/26/10,1104.48999
3/31/10,1169.430054
4/30/10,1186.689941
5/28/10,1089.410034
6/30/10,1030.709961
7/30/10,1101.599976
8/31/10,1049.329956
9/30/10,1141.199951
10/29/10,1183.26001
11/30/10,1180.550049
12/31/10,1257.640015
1/31/11,1286.119995
2/28/11,1327.219971
3/31/11,1325.829956
4/29/11,1363.609985
5/31/11,1345.199951
6/30/11,1320.640015
7/29/11,1292.280029
8/31/11,1218.890015
9/30/11,1131.420044
10/31/11,1253.300049
11/30/11,1246.959961
12/30/11,1257.599976
1/31/12,1312.410034
2/29/12,1365.680054
3/30/12,1408.469971
4/30/12,1397.910034
5/31/12,1310.329956
6/29/12,1362.160034
7/31/12,1379.319946
8/31/12,1406.579956
9/28/12,1440.670044
10/31/12,1412.160034
11/30/12,1416.180054
12/31/12,1426.189941
1/31/13,1498.109985
2/28/13,1514.680054
3/28/13,1569.189941
4/30/13,1597.569946
5/31/13,1630.73999
6/28/13,1606.280029
7/31/13,1685.72998
8/30/13,1632.969971
9/30/13,1681.550049
10/31/13,1756.540039
11/29/13,1805.810059
12/31/13,1848.359985
1/31/14,1782.589966
2/28/14,1859.449951
3/31/14,1872.339966
4/30/14,1883.949951
5/30/14,1923.569946
6/30/14,1960.22998
7/31/14,1930.670044
8/29/14,2003.369995
9/30/14,1972.290039
10/31/14,2018.050049
11/28/14,2067.560059
12/31/14,2058.899902
1/30/15,1994.98999
2/27/15,2104.5
3/31/15,2067.889893
4/30/15,2085.51001
5/29/15,2107.389893
6/30/15,2063.110107
7/31/15,2103.840088
8/31/15,1972.180054
9/30/15,1920.030029
10/30/15,2079.360107
11/30/15,2080.409912
12/31/15,2043.939941
1/29/16,1940.23999
2/29/16,1932.22998
3/31/16,2059.73999
4/29/16,2065.300049
5/31/16,2096.949951
6/30/16,2098.860107
7/29/16,2173.600098
8/31/16,2170.949951
9/30/16,2168.27002
10/31/16,2126.149902
11/30/16,2198.810059
12/30/16,2238.830078
1/31/17,2278.870117
2/28/17,2363.639893
3/31/17,2362.719971
4/28/17,2384.199951
5/31/17,2411.800049
6/30/17,2423.409912
7/31/17,2470.300049
8/31/17,2471.649902
9/29/17,2519.360107
10/31/17,2575.26001
11/30/17,2647.580078
12/29/17,2673.610107
1/31/18,2823.810059
2/28/18,2713.830078
3/29/18,2640.870117
4/30/18,2648.050049
5/31/18,2705.27002
6/29/18,2718.370117
7/31/18,2816.290039
8/31/18,2901.52002
9/28/18,2913.97998
10/31/18,2711.73999
11/30/18,2760.169922
12/31/18,2506.850098
1/31/19,2704.100098
2/28/19,2784.48999
3/29/19,2834.399902
4/30/19,2945.830078
5/31/19,2752.060059
6/28/19,2941.76001
7/31/19,2980.379883
8/30/19,2926.459961
9/30/19,2976.73999
10/31/19,3037.560059
11/29/19,3140.97998
12/31/19,3230.780029
1/31/20,3225.52002
2/28/20,2954.219971
3/31/20,2584.590088
4/30/20,2912.429932
5/29/20,3044.310059
6/30/20,3100.290039
7/31/20,3271.120117
8/31/20,3500.310059
9/30/20,3363
10/30/20,3269.959961
11/30/20,3621.629883
12/31/20,3756.070068
1/29/21,3714.23999
2/26/21,3811.149902
3/31/21,3972.889893
4/30/21,4181.169922
5/28/21,4204.109863
6/30/21,4297.5
7/30/21,4395.259766
8/31/21,4522.680176
9/30/21,4307.540039
10/29/21,4605.379883
11/30/21,4567
12/31/21,4766.180176
1/31/22,4515.549805
2/28/22,4373.939941
3/31/22,4530.410156
4/29/22,4131.930176
5/31/22,4132.149902
6/30/22,3785.379883
7/29/22,4130.290039
8/31/22,3955
9/19/22,3899.889893
